id,date_utc,time_utc,symbol,direction,playbook,grade,entry,stop,target,exit,risk_pct,size,r_multiple,fees_r,planned,execution_grade,mistake,notes
1,2026-07-07,03:10,BTCUSDT,long,7-vwap-reclaim,B,63316.39,62884.82,64179.52,62850.3,2.5,2.3171,,0.1,yes,3,oversized,
2,2026-07-09,22:40,SOLUSDT,long,1-trend-pullback,B,136.89,135.83,139.0,135.79,0.5,947.2239,,0.1,no,1,revenge,
3,2026-07-10,03:10,SOLUSDT,short,1-trend-pullback,B,137.55,138.72,135.21,139.82,0.5,854.9574,,0.1,yes,3,moved stop,
4,2026-07-10,18:05,ETHUSDT,long,3-breakout-retest,B,2831.43,2792.85,2908.59,2789.38,0.5,25.9198,,0.1,yes,1,chased,
5,2026-07-10,07:40,SOLUSDT,long,2-range-fade,B,143.09,141.83,145.61,145.09,0.5,794.0619,,0.1,yes,4,none,
6,2026-07-11,13:45,ETHUSDT,short,1-trend-pullback,A,3105.5,3145.64,3025.22,3028.03,2.5,24.9124,,0.1,yes,2,oversized,
7,2026-07-13,09:15,BTCUSDT,short,4-sweep-reversal,B,62646.72,63384.48,61171.2,63325.46,0.5,1.3555,,0.1,yes,1,early exit,
8,2026-07-13,14:30,BTCUSDT,short,2-range-fade,A,58753.5,59442.64,57375.23,59442.64,1.0,1.4511,,0.1,yes,4,none,
9,2026-07-14,18:05,ETHUSDT,long,3-breakout-retest,A,2903.35,2877.81,2954.43,2879.09,1.0,39.1517,,0.1,yes,4,none,
10,2026-07-15,14:30,ETHUSDT,long,2-range-fade,B,3164.19,3143.85,3204.86,3143.85,0.5,49.1762,,0.1,yes,4,none,
11,2026-07-15,15:20,ETHUSDT,short,7-vwap-reclaim,B,3112.45,3158.5,3020.36,3160.34,0.5,21.7167,,0.1,yes,4,none,
12,2026-07-15,09:15,BTCUSDT,long,4-sweep-reversal,B,58373.83,57875.45,59370.58,59380.55,0.5,2.0065,,0.1,yes,3,chased,
13,2026-07-16,09:15,SOLUSDT,short,2-range-fade,B,163.41,164.44,161.35,164.5,0.5,968.9688,,0.1,yes,4,none,
14,2026-07-17,15:20,ETHUSDT,long,3-breakout-retest,A,2987.72,2967.77,3027.62,3008.27,1.0,50.125,,0.1,no,3,revenge,
15,2026-07-18,18:05,BTCUSDT,short,2-range-fade,B,68652.45,69073.34,67810.66,69073.34,0.5,2.3759,,0.1,yes,5,none,
16,2026-07-20,09:15,SOLUSDT,long,1-trend-pullback,A,155.82,154.27,158.93,158.16,1.0,644.02,,0.1,yes,4,none,
17,2026-07-21,07:40,ETHUSDT,long,7-vwap-reclaim,A,2948.61,2921.15,3003.52,2996.11,1.0,36.4216,,0.1,yes,1,chased,
18,2026-07-23,14:30,BTCUSDT,short,7-vwap-reclaim,B,61785.1,62295.16,60764.98,62305.36,0.5,1.9606,,0.1,yes,5,none,
19,2026-07-23,22:40,BTCUSDT,long,2-range-fade,B,66703.59,65809.98,68490.81,64853.82,0.5,1.1191,,0.1,yes,1,moved stop,
20,2026-07-24,15:20,ETHUSDT,short,4-sweep-reversal,B,3234.09,3266.66,3168.94,3267.32,2.5,30.6986,,0.1,no,1,oversized,
21,2026-07-24,07:40,SOLUSDT,long,3-breakout-retest,A,139.08,138.01,141.22,137.98,1.0,932.6816,,0.1,yes,5,none,
22,2026-07-24,07:40,ETHUSDT,short,2-range-fade,A,3384.25,3410.59,3331.57,3411.9,1.0,37.9683,,0.1,no,2,chased,
23,2026-07-25,07:40,SOLUSDT,long,7-vwap-reclaim,A,164.9,163.33,168.05,163.3,1.0,635.5428,,0.1,yes,4,none,
24,2026-07-27,13:45,SOLUSDT,long,4-sweep-reversal,A,161.38,159.74,164.66,165.32,1.0,609.097,,0.1,yes,4,none,
25,2026-07-27,14:30,ETHUSDT,short,1-trend-pullback,A,2952.37,2992.82,2871.46,2909.49,1.0,24.7197,,0.1,yes,2,early exit,
26,2026-07-28,07:40,BTCUSDT,long,1-trend-pullback,B,63090.36,62613.65,64043.79,63543.24,0.5,2.0977,,0.1,yes,5,none,
27,2026-07-30,03:10,ETHUSDT,short,2-range-fade,B,3148.95,3170.28,3106.29,3171.56,0.5,46.8787,,0.1,yes,4,none,
28,2026-07-31,15:20,SOLUSDT,long,7-vwap-reclaim,B,141.25,139.17,145.41,142.56,0.5,481.0957,,0.1,yes,3,early exit,
29,2026-08-03,22:40,SOLUSDT,long,1-trend-pullback,B,148.77,147.52,151.28,147.6,0.5,798.0451,,0.1,yes,2,chased,
30,2026-08-04,18:05,BTCUSDT,long,2-range-fade,B,62970.1,62067.9,64774.5,62085.94,0.5,1.1084,,0.1,yes,4,none,
31,2026-08-06,07:40,SOLUSDT,long,1-trend-pullback,A,149.96,148.07,153.73,152.9,1.0,530.149,,0.1,yes,4,none,
32,2026-08-07,15:20,SOLUSDT,short,7-vwap-reclaim,B,153.47,154.67,151.06,151.36,0.5,831.263,,0.1,yes,4,none,
33,2026-08-11,13:45,BTCUSDT,long,3-breakout-retest,A,59314.33,58887.69,60167.61,60538.79,1.0,2.3439,,0.1,yes,4,none,
34,2026-08-12,09:15,SOLUSDT,long,4-sweep-reversal,B,155.56,154.49,157.7,154.53,0.5,936.4883,,0.1,yes,5,none,
35,2026-08-13,18:05,SOLUSDT,short,1-trend-pullback,B,153.4,154.98,150.23,154.86,0.5,630.9705,,0.1,yes,1,chased,
36,2026-08-13,14:30,BTCUSDT,long,1-trend-pullback,A,69779.14,69311.73,70713.96,70699.94,1.0,2.1394,,0.1,yes,4,none,
37,2026-08-14,03:10,BTCUSDT,long,4-sweep-reversal,A,59920.25,59366.82,61027.11,60617.57,1.0,1.8069,,0.1,yes,2,early exit,
38,2026-08-15,13:45,SOLUSDT,short,7-vwap-reclaim,B,163.19,165.05,159.47,159.4,0.5,537.7042,,0.1,yes,5,none,
39,2026-08-16,22:40,BTCUSDT,short,2-range-fade,A,62793.54,63274.75,61831.12,63279.56,1.0,2.0781,,0.1,yes,5,none,
40,2026-08-17,09:15,SOLUSDT,long,4-sweep-reversal,A,143.97,142.25,147.41,142.3,1.0,581.8539,,0.1,yes,4,none,
41,2026-08-18,22:40,BTCUSDT,long,1-trend-pullback,B,59069.04,58321.87,60563.39,58232.21,0.5,1.3384,,0.1,yes,2,chased,
42,2026-08-19,07:40,SOLUSDT,long,4-sweep-reversal,B,151.21,148.99,155.66,154.59,0.5,449.7426,,0.1,yes,3,early exit,
43,2026-08-19,09:15,ETHUSDT,long,4-sweep-reversal,B,3082.49,3040.26,3166.96,3035.61,0.5,23.678,,0.1,yes,4,none,
44,2026-08-20,22:40,ETHUSDT,long,4-sweep-reversal,A,3137.6,3100.04,3212.73,3099.28,1.0,26.621,,0.1,yes,5,none,
45,2026-08-20,14:30,ETHUSDT,long,1-trend-pullback,B,3253.99,3217.43,3327.11,3219.99,0.5,27.3517,,0.1,yes,5,none,
46,2026-08-20,22:40,SOLUSDT,long,2-range-fade,A,162.28,159.88,167.09,164.71,1.0,416.0895,,0.1,yes,4,none,
47,2026-08-21,07:40,ETHUSDT,short,1-trend-pullback,B,3064.58,3094.47,3004.8,3029.01,0.5,33.4582,,0.1,yes,3,chased,
48,2026-08-24,18:05,BTCUSDT,short,4-sweep-reversal,B,63758.13,64652.93,61968.53,64715.57,0.5,1.1176,,0.1,yes,5,none,
49,2026-08-25,14:30,BTCUSDT,long,3-breakout-retest,B,68848.34,68045.87,70453.29,67251.42,0.5,1.2461,,0.1,yes,1,moved stop,
50,2026-08-26,22:40,SOLUSDT,long,3-breakout-retest,A,139.83,138.2,143.1,143.73,1.0,612.3109,,0.1,yes,5,none,
51,2026-08-27,18:05,BTCUSDT,short,4-sweep-reversal,A,63325.56,64183.11,61610.46,64123.08,1.0,1.1661,,0.1,yes,4,none,
52,2026-08-28,15:20,BTCUSDT,long,4-sweep-reversal,A,63073.95,62365.93,64490.0,64022.7,1.0,1.4124,,0.1,yes,2,early exit,
53,2026-09-01,15:20,SOLUSDT,short,4-sweep-reversal,A,144.11,145.97,140.4,146.04,1.0,538.8492,,0.1,yes,5,none,
54,2026-09-02,14:30,SOLUSDT,short,2-range-fade,B,152.84,155.01,148.49,149.19,0.5,460.0904,,0.1,yes,5,none,
55,2026-09-03,03:10,ETHUSDT,long,3-breakout-retest,A,3303.68,3273.06,3364.93,3273.97,1.0,32.6536,,0.1,yes,5,none,
56,2026-09-04,14:30,BTCUSDT,long,4-sweep-reversal,A,59860.38,59026.64,61527.86,61953.07,1.0,1.1994,,0.1,yes,5,none,
57,2026-09-04,07:40,BTCUSDT,long,2-range-fade,B,65049.09,64197.43,66752.41,64129.3,0.5,1.1742,,0.1,yes,4,none,
58,2026-09-07,18:05,SOLUSDT,long,1-trend-pullback,B,145.15,143.76,147.92,146.97,2.5,721.4724,,0.1,yes,2,oversized,
59,2026-09-08,03:10,SOLUSDT,long,2-range-fade,B,145.47,143.54,149.33,143.37,0.5,518.6712,,0.1,yes,1,chased,
60,2026-09-09,07:40,BTCUSDT,long,7-vwap-reclaim,B,60745.22,59838.96,62557.75,62077.43,0.5,1.1034,,0.1,yes,5,none,
61,2026-09-11,18:05,ETHUSDT,long,2-range-fade,A,3243.08,3204.71,3319.82,3207.39,1.0,26.061,,0.1,yes,4,none,
62,2026-09-11,07:40,SOLUSDT,short,4-sweep-reversal,B,142.06,143.52,139.15,139.32,0.5,686.9348,,0.1,yes,3,chased,
63,2026-09-11,13:45,SOLUSDT,long,4-sweep-reversal,A,149.38,147.83,152.48,147.66,2.5,645.9739,,0.1,no,2,oversized,
64,2026-09-12,15:20,ETHUSDT,long,4-sweep-reversal,A,3069.01,3030.89,3145.24,3027.46,1.0,26.2358,,0.1,yes,4,none,
